,objectId,geoPosition,countryCode,postalCode,placeName,adminName1,adminCode1,adminName2,adminCode2,adminName3,adminCode3,accuracy,createdAt,updatedAt
0,1,"{'__type': 'GeoPoint', 'latitude': 32.9708, 'longitude': 73.9806}",PK,10031,Maloot,Norhern Punajb Rawalpindi,,,,,,,2020-02-21T22:46:01.247Z,2020-02-21T22:46:01.247Z
1,2,"{'__type': 'GeoPoint', 'latitude': 31.0833, 'longitude': 72.55}",PK,10041,Dab Sandoha,Norhern Punajb Rawalpindi,,,,,,,2020-02-21T22:46:01.247Z,2020-02-21T22:46:01.247Z
2,3,"{'__type': 'GeoPoint', 'latitude': 28.0333, 'longitude': 66.4333}",PK,10021,Malki,Norhern Punajb Rawalpindi,,,,,,4,2020-02-21T22:46:01.247Z,2020-02-21T22:46:01.247Z
3,4,"{'__type': 'GeoPoint', 'latitude': 32.9708, 'longitude': 73.9806}",PK,10031,Mangloora,Norhern Punajb Rawalpindi,,,,,,,2020-02-21T22:46:01.247Z,2020-02-21T22:46:01.247Z
4,5,"{'__type': 'GeoPoint', 'latitude': 32.9708, 'longitude': 73.9806}",PK,10030,Bharing (A.K),Norhern Punajb Rawalpindi,,,,,,,2020-02-21T22:46:01.247Z,2020-02-21T22:46:01.247Z
5,6,"{'__type': 'GeoPoint', 'latitude': 32.9708, 'longitude': 73.9806}",PK,10031,Khaliq Nagar,Norhern Punajb Rawalpindi,,,,,,,2020-02-21T22:46:01.247Z,2020-02-21T22:46:01.247Z
6,7,"{'__type': 'GeoPoint', 'latitude': 27.8431, 'longitude': 67.6604}",PK,10021,Ahla,Norhern Punajb Rawalpindi,,,,,,,2020-02-21T22:46:01.247Z,2020-02-21T22:46:01.247Z
7,8,"{'__type': 'GeoPoint', 'latitude': 27.8431, 'longitude': 67.6604}",PK,10021,Gherara,Norhern Punajb Rawalpindi,,,,,,,2020-02-21T22:46:01.247Z,2020-02-21T22:46:01.247Z
8,9,"{'__type': 'GeoPoint', 'latitude': 32.9278, 'longitude': 74.1722}",PK,10031,Kangra,Norhern Punajb Rawalpindi,,,,,,4,2020-02-21T22:46:01.247Z,2020-02-21T22:46:01.247Z
9,10,"{'__type': 'GeoPoint', 'latitude': 30.7819, 'longitude': 71.6511}",PK,10010,Watala,Norhern Punajb Rawalpindi,,,,,,,2020-02-21T22:46:01.246Z,2020-02-21T22:46:01.246Z
10,11,"{'__type': 'GeoPoint', 'latitude': 27.6528, 'longitude': 68.8875}",PK,10021,Patni,Norhern Punajb Rawalpindi,,,,,,4,2020-02-21T22:46:01.247Z,2020-02-21T22:46:01.247Z
11,12,"{'__type': 'GeoPoint', 'latitude': 31.0833, 'longitude': 72.55}",PK,10041,Sokasan,Norhern Punajb Rawalpindi,,,,,,,2020-02-21T22:46:01.247Z,2020-02-21T22:46:01.247Z
12,13,"{'__type': 'GeoPoint', 'latitude': 32.9708, 'longitude': 73.9806}",PK,10034,Kadhala,Norhern Punajb Rawalpindi,,,,,,,2020-02-21T22:46:01.247Z,2020-02-21T22:46:01.247Z
13,14,"{'__type': 'GeoPoint', 'latitude': 30.7819, 'longitude': 71.6511}",PK,10011,Saryala Chappar,Norhern Punajb Rawalpindi,,,,,,,2020-02-21T22:46:01.246Z,2020-02-21T22:46:01.246Z
14,15,"{'__type': 'GeoPoint', 'latitude': 31.6333, 'longitude': 73.1}",PK,10020,Barnala,Norhern Punajb Rawalpindi,,,,,,,2020-02-21T22:46:01.247Z,2020-02-21T22:46:01.247Z
15,16,"{'__type': 'GeoPoint', 'latitude': 27.8431, 'longitude': 67.6604}",PK,10021,Thub,Norhern Punajb Rawalpindi,,,,,,,2020-02-21T22:46:01.247Z,2020-02-21T22:46:01.247Z
16,17,"{'__type': 'GeoPoint', 'latitude': 32.9708, 'longitude': 73.9806}",PK,10031,Mora Sadha,Norhern Punajb Rawalpindi,,,,,,,2020-02-21T22:46:01.247Z,2020-02-21T22:46:01.247Z
17,18,"{'__type': 'GeoPoint', 'latitude': 33.0139, 'longitude': 73.7889}",PK,10031,Barsali,Norhern Punajb Rawalpindi,,,,,,4,2020-02-21T22:46:01.247Z,2020-02-21T22:46:01.247Z
18,19,"{'__type': 'GeoPoint', 'latitude': 32.9833, 'longitude': 74.0667}",PK,10040,Bhimber,Norhern Punajb Rawalpindi,,,,,,4,2020-02-21T22:46:01.247Z,2020-02-21T22:46:01.247Z
